"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:57TZzPubyP8TGu35uVFrge","The Me In Me","spotify:artist:6Os3fHAI2Fma2UzTD91RU8","Watt White","spotify:album:2z0qQtXeQwC6GqrJSkKNFw","The Me In Me","spotify:artist:6Os3fHAI2Fma2UzTD91RU8","Watt White","2017-03-29","https://i.scdn.co/image/ab67616d0000b2733e3a54ac264092d7a4ad5d6e","1","1","197205","","false","22","US3DF1712296","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:45:38Z"
"spotify:track:3x17za8psDmjnnRPm6vSPC","King of the World","spotify:artist:2gOYcCjg3QuNkzc3m0C0zl","WAR*HALL","spotify:album:4AF2jKtoU2tsgrGabqkNd2","King of the World","spotify:artist:2gOYcCjg3QuNkzc3m0C0zl","WAR*HALL","2018-08-10","https://i.scdn.co/image/ab67616d0000b273ae0056cdf3be1527a078e12a","1","3","219946","https://p.scdn.co/mp3-preview/a7933271b11008e6fa2d1842ddba7f6ff3db46c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US43C1609123","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:45:44Z"
"spotify:track:50eNAKjLqvLCTMWjMSL50A","Monster","spotify:artist:1X4SgQC4TgIGaLlEUnhxJw","Willyecho","spotify:album:6AZssRZLYac5MfqgVdACpN","Monster","spotify:artist:1X4SgQC4TgIGaLlEUnhxJw","Willyecho","2019-01-15","https://i.scdn.co/image/ab67616d0000b2734508af9d98c62a6a0faf04d4","1","1","238400","https://p.scdn.co/mp3-preview/5b2a8e68733cea56fe9028598ccbf181ceb3cfae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TCAEB1910913","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:46:27Z"
"spotify:track:4ONObLBeax6CJmc15r9uCS","Superhero","spotify:artist:4OfvUFjzAjXY8XSWd8MBTE","Simon Curtis","spotify:album:2RUxofdTrjaWmYVnstbP5r","R∆","spotify:artist:4OfvUFjzAjXY8XSWd8MBTE","Simon Curtis","2011-06-07","https://i.scdn.co/image/ab67616d0000b273b149eb1a1e1916529df724d5","1","3","201951","https://p.scdn.co/mp3-preview/2cdd1e82c0b693a1640b75ab8b2b03cad7668e7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","TCAAY1160144","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:47:54Z"
"spotify:track:37OjMlwuUVWWmVKrV8CiUQ","Stand Up","spotify:artist:2C2sVVXanbOpymYBMpsi89","The Cab","spotify:album:4Kf8e2ltrokXNdyTiXvKx4","Lock Me Up","spotify:artist:2C2sVVXanbOpymYBMpsi89","The Cab","2014-01-01","https://i.scdn.co/image/ab67616d0000b273b75ae26c69451f65f59267a1","1","4","263213","https://p.scdn.co/mp3-preview/a9f7be63df023051ffdc894c795bbbee877a316e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUM71405311","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:48:14Z"
"spotify:track:5e7z058X5qWaR1z7ieqKZ5","Lions Inside","spotify:artist:1sYbTp9AgWvJb0mJBAB6eP","Valley Of Wolves","spotify:album:2y6pM55brN8LvzhcTgPhBE","Out For Blood","spotify:artist:1sYbTp9AgWvJb0mJBAB6eP","Valley Of Wolves","2018-01-12","https://i.scdn.co/image/ab67616d0000b273e1f8a1053b276410e7feb204","1","7","240187","https://p.scdn.co/mp3-preview/5d46f5dd455801db3d866118430c377fc58de851?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","US43C1604901","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:49:15Z"
"spotify:track:6dsMpTN2kRHbqV9jltSSr2","Heroes of Today","spotify:artist:7jXFtoRnuxXJ0trzvt3DNj","Once Monsters","spotify:album:5bFXXMiHx7smxQCru7t9CM","Heroes of Today","spotify:artist:7jXFtoRnuxXJ0trzvt3DNj","Once Monsters","2017-11-24","https://i.scdn.co/image/ab67616d0000b273db9b71a6a1497ab90e47e270","1","1","200096","https://p.scdn.co/mp3-preview/a63f6989a36810b6764e4eb092cdcead8efa3e0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QZANL1774234","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:49:50Z"
"spotify:track:1QAH5HMnoDt76yBNpLUsHo","Bloodshot","spotify:artist:70TsVY28EcEUYSGG5Yw7mp","Sam Tinnesz","spotify:album:1advQR4gEU8KH8jBKxdBWP","Warplanes","spotify:artist:70TsVY28EcEUYSGG5Yw7mp","Sam Tinnesz","2020-05-15","https://i.scdn.co/image/ab67616d0000b27392136708e720e8ea50ff0f17","1","1","200061","https://p.scdn.co/mp3-preview/1238124009c07712fe27d6ccb1f515c95af0c9e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ZZOPM2002110","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:50:57Z"
"spotify:track:6oQI9laBVk1Vk5MCyvXn2U","My Name Is..","spotify:artist:7jXFtoRnuxXJ0trzvt3DNj","Once Monsters","spotify:album:6xsVnwUDY2xt8GEQVu5DZp","My Name Is..","spotify:artist:7jXFtoRnuxXJ0trzvt3DNj","Once Monsters","2019-11-15","https://i.scdn.co/image/ab67616d0000b273980e3695a92a4461d1a5d893","1","1","222710","https://p.scdn.co/mp3-preview/40a5ac8ad4bb1654e06fed77277be94f27ffc5bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","QZHN91977859","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:51:24Z"
"spotify:track:7Fv8Qp3tTSbSS2VjryUF7L","Revolution","spotify:artist:2q3GG88dVwuQPF4FmySr9I","The Score","spotify:album:6pUg9RDDoVyQQVJ48FkmXz","ATLAS","spotify:artist:2q3GG88dVwuQPF4FmySr9I","The Score","2017-10-13","https://i.scdn.co/image/ab67616d0000b273c469e75608b59994c1c422be","1","8","231986","https://p.scdn.co/mp3-preview/53f72e8c0c6fb7dcea3f8a88768c2c94d2845307?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USUM71700189","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:51:37Z"
"spotify:track:6hKpIzJWHQduwojjkWG8zt","Ready Set Let's Go","spotify:artist:70TsVY28EcEUYSGG5Yw7mp","Sam Tinnesz","spotify:album:6g0aQxrq5HuzJUr2h3lmXW","Ready Set Let's Go","spotify:artist:70TsVY28EcEUYSGG5Yw7mp","Sam Tinnesz","2016-05-20","https://i.scdn.co/image/ab67616d0000b273962fbef636eb49e892d72d69","1","1","216142","https://p.scdn.co/mp3-preview/17d7f1b60bc57d5274fa9cbb367ec54443797e9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","TCACO1662415","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T04:52:26Z"
