Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
30XUVaCG8ghAiE45SnXLhn,"0qT79UgT5tY4yudH9VfsdT","Out For Blood","Order In Decline","Sum 41",2019-07-19,216571,60,spotify:user:angels_anarchy,2023-03-11T09:13:42Z,"alternative metal,canadian pop punk,canadian punk,modern rock,nu metal,pop punk,post-grunge,punk,rock",0.553,0.868,6,-4.186,0,0.048,0.0000735,0.0359,0.0934,0.5,140.054,4
1hKdDCpiI9mqz1jVHRKG0E,"2ye2Wgw4gimLv2eAKyk1NB","Enter Sandman","Metallica","Metallica",1991-08-12,331573,0,spotify:user:angels_anarchy,2023-03-11T09:13:48Z,"hard rock,metal,old school thrash,rock,thrash metal",0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,4
7KhvSjJAHO9FLt2mpTKzxB,"4tDkeVxH0CSkNiLVrsYmQs","Send Help","Coma Witch","The Acacia Strain",2014-10-10,206253,32,spotify:user:angels_anarchy,2023-07-05T14:40:52Z,"deathcore,downtempo deathcore,melodic metalcore,metalcore",0.347,0.987,0,-2.826,1,0.159,0.000428,0,0.388,0.172,128.011,4
6qa1eyvDHXyaiA6a68kKvr,"1Ffb6ejR6Fe5IamqA5oRUF","A Lot Like Vegas","Count Your Blessings","Bring Me The Horizon",2006-10-30,129866,37,spotify:user:angels_anarchy,2023-07-05T14:44:21Z,"melodic metalcore,metalcore,modern rock,rock,uk metalcore",0.249,0.967,7,-5.098,1,0.178,0.000179,0.0108,0.292,0.326,101.268,4
5XvkXB1vcquootiIcUOoTz,"6vXYoy8ouRVib302zxaxFF","Into the Earth","Into the Earth","Lorna Shore",2022-06-22,312000,44,spotify:user:angels_anarchy,2023-07-05T14:47:22Z,"blackened deathcore,melodic metalcore,symphonic deathcore",0.359,0.828,3,-3.173,1,0.0787,0.0000237,0.0312,0.115,0.288,144.984,4
3wzAXBZ6mhuYEzf2IJAbDc,"6vXYoy8ouRVib302zxaxFF","Of the Abyss","...And I Return To Nothingness - EP","Lorna Shore",2021-08-13,343032,62,spotify:user:angels_anarchy,2023-07-05T14:47:52Z,"blackened deathcore,melodic metalcore,symphonic deathcore",0.236,0.888,3,-3.563,0,0.139,0.000031,0.0457,0.11,0.107,130.132,4
4Ku3OOZWR4tpKNCVFXILY8,"6HZr7Fs2VfV1PYHIwo8Ylc","You Only Live Once","The Black Crown","Suicide Silence",2012-06-19,192560,61,spotify:user:angels_anarchy,2023-07-05T14:48:29Z,"deathcore,melodic metalcore,metalcore,nu metal",0.613,0.953,6,-4.936,1,0.153,0.00018,0.0614,0.116,0.213,119.976,4
4yWsHP4OVR99M7unjm16S7,"5mscNJ6lE9Kj7tWv4iCk7y","Black Heart","Black Heart","Within The Ruins",2020-11-27,275875,35,spotify:user:angels_anarchy,2023-07-05T14:51:15Z,"deathcore,djent,melodic metalcore,metalcore",0.412,0.995,5,-2.851,0,0.216,0.0000919,0.00126,0.344,0.0936,145.02,4
6BlKRhk5hnrQ7HKrsPEesI,"6vXYoy8ouRVib302zxaxFF","Immortal","Immortal","Lorna Shore",2020-01-31,413093,53,spotify:user:angels_anarchy,2023-07-05T14:51:40Z,"blackened deathcore,melodic metalcore,symphonic deathcore",0.398,0.871,1,-4.786,1,0.0632,0.000125,0.0813,0.0906,0.0737,129.991,4
5qUP58oHnZrbcEyqYTHp6q,"0OgdRTPItr9dw4XYp4JJUx","Bitter End","Creation / Destruction","Fit For A King",2013-06-01,197480,46,spotify:user:angels_anarchy,2023-07-05T14:53:07Z,"christian metalcore,christian rock,melodic metalcore,metalcore",0.436,0.995,3,-3.856,0,0.158,0.000268,0,0.102,0.189,138.595,4
