"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6SAnmQd5fhGoObOvW3riyJ","Feels Like a Sunday","spotify:artist:1y1jbXRPCGadF9uRFs5mvG","Mitchy & André","spotify:album:3hRXCiNvMu1mY3fWpznJwA","Feels Like a Sunday","spotify:artist:1y1jbXRPCGadF9uRFs5mvG","Mitchy & André","2023-08-04","https://i.scdn.co/image/ab67616d0000b273aa9852b8f0579682fe0ee971","1","1","139404","https://p.scdn.co/mp3-preview/3ca2c949d1cb3dd5b6623f7c75a2fa8aa93b6cf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","CH7812356704","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Watermelon Sugar","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","2","174000","https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USSM11912587","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:6yv0ZjBlZy2oRFq7jAis2C","Riptide","spotify:artist:6tV2P2SciHytsSDufKr57B","TWOPILOTS","spotify:album:2zx1E2Yv7eYSWvfbPDDF7P","Riptide","spotify:artist:6tV2P2SciHytsSDufKr57B","TWOPILOTS","2022-04-21","https://i.scdn.co/image/ab67616d0000b273c401c6d2260fed140d4824c8","1","1","154731","https://p.scdn.co/mp3-preview/addd01c43223f43479ae314497e31614407ef5fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","NLT2H2200190","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:0O6u0VJ46W86TxN9wgyqDj","I Like You (A Happier Song) (with Doja Cat)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Post Malone, Doja Cat","spotify:album:3HHNR44YbP7XogMVwzbodx","Twelve Carat Toothache","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2022-06-03","https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97","1","5","192840","https://p.scdn.co/mp3-preview/7330b2c0298e90c5f76e8f7d866ce2409f2a8d81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USUM72208023","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:7MIhUdNJtaOnDmC5nBC1fb","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX, spotify:artist:2u3rmzZC0psTER2sDfUebm","Alok, Ella Eyre, Kenny Dope, Never Dull","spotify:album:3KpxpdySrMR2S7noneu1bI","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX","Alok, Ella Eyre, Kenny Dope","2022-06-17","https://i.scdn.co/image/ab67616d0000b273ed443f0fff29eee63c9ede20","1","1","165752","https://p.scdn.co/mp3-preview/86c654c4b63f69463fb961bad9b9dcd59da63091?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","DEE862200810","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:3AadEJVGbfBBSx3G6Rynew","No Diggity","spotify:artist:6fMSq8NSVe1QWRSTiBCxwL, spotify:artist:3jyJU4Lz2YDeOoZpO3vzdj, spotify:artist:5is5DqPrikZst947JUUy9z","MITCH DB, Thornballin', Navagio","spotify:album:3Ve9i7gVkesmZJ4jR0eSPU","No Diggity","spotify:artist:6fMSq8NSVe1QWRSTiBCxwL, spotify:artist:3jyJU4Lz2YDeOoZpO3vzdj, spotify:artist:5is5DqPrikZst947JUUy9z","MITCH DB, Thornballin', Navagio","2023-10-12","https://i.scdn.co/image/ab67616d0000b273d62138cf89e1bfa78f3b2006","1","1","137213","https://p.scdn.co/mp3-preview/684e91e7641734d69e1b778d6ff2ec4f5975d0b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","NLT2H2300835","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:2cpmIcWi6vxnSEHjuLGqyi","Automatic","spotify:artist:3T0HSMgUpuH1hXbT1JPwQF, spotify:artist:3TV2LSYttSMFFHYIzbCvjn","Redondo, Sydney Jo Jackson","spotify:album:1AacA1hCMjkPJUH6RquSz5","Automatic","spotify:artist:3T0HSMgUpuH1hXbT1JPwQF, spotify:artist:3TV2LSYttSMFFHYIzbCvjn","Redondo, Sydney Jo Jackson","2023-09-15","https://i.scdn.co/image/ab67616d0000b2732e706a2b5a1b058bf305c44f","1","1","126859","https://p.scdn.co/mp3-preview/d2e10e70fa110de534766082f1086209ce7f03b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBKQU2380822","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q","Rasputin","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:54R6Y0I7jGUCveDTtI21nb","Majestic, Boney M.","spotify:album:6PzYuR9c0CYCPJTnqylPhd","Rasputin","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:54R6Y0I7jGUCveDTtI21nb","Majestic, Boney M.","2021-02-26","https://i.scdn.co/image/ab67616d0000b273f05cf0af79d057704dc994f4","1","1","186209","https://p.scdn.co/mp3-preview/ad54133fba3671bed149315a15c410a52569f42b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","DEE862100256","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:1Z18G3Uk0uIgGwa8ugDhrX","Walking on Sunshine","spotify:artist:3Wb1mXnd1hXkGwys5m54YC, spotify:artist:2TzHIUhVpeeDxyJPpQfnV3, spotify:artist:2Qies5tt1MrS9aziIKigkc","CARSTN, Katrina & The Waves, Agent Zed","spotify:album:54aKScX1t1yVDRgU4SUee3","Walking on Sunshine","spotify:artist:3Wb1mXnd1hXkGwys5m54YC, spotify:artist:2TzHIUhVpeeDxyJPpQfnV3, spotify:artist:2Qies5tt1MrS9aziIKigkc","CARSTN, Katrina & The Waves, Agent Zed","2023-05-19","https://i.scdn.co/image/ab67616d0000b273cfc02c9167caa60177c25060","1","1","161641","","false","60","DELV42300327","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:5r43qanLhUCdBj8HN3fa6B","Sunshine","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2YSlIS6gM38w7ZJNj8F3s6","Sunshine","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2021-11-10","https://i.scdn.co/image/ab67616d0000b2733b248f42fb53c64faf1d748e","1","1","163854","https://p.scdn.co/mp3-preview/5a4cafd427b29258c8f24f8ac8cb0cdadfd9607d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM72100506","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
